what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1335103187025
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103188507
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103190130
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103191737
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103195952
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103197309
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103199135
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103199150
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103202629
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103212816
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103228947
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103230914
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103234190
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103253175
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103253347
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103253503
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103253643
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103253799
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103253939
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103254080
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103254236
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103254376
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103255031
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1335103255343
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1335103256482
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103269695
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103344873
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103349397
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103352174
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103356323
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103359304
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103360833
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103372158
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103403967
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103426197
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103438069
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103440863
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103442906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103447040
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103448600
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103451939
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103461268
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103463874
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103467759
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103469007
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103469225
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103478476
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103480348
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103481003
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103481409
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103482033
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103484919
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103538682
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103539774
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103597996
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103601912
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103645795
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103647620
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103650241
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103652332
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103653814
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103700255
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103701378
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103701378
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103729224
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103738506
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103745791
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103745807
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103748896
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103748896
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103788145
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103796335
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103829719
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103836895
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1335103839329
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103841029
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103843400
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1335103847255
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1335103849345
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335103855257
